Kode Variabel,Label,label_english,Variable Type,Aggregation Method,aggregation,Notes
R701CK3,KELOMPOK KEGIATAN : BULU TANGKIS,Activity Group: Badminton,village level,Proportion of villages having this activity group,proportion,
R701DK2,KETERSEDIAAN FASILITAS/LAPANGAN: BOLA BASKET,Availability of facilities/field: basketball,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701DK3,KELOMPOK KEGIATAN : BOLA BASKET,Activity Group: Basketball,village level,Proportion of villages having this activity group,proportion,
R701EK2,KETERSEDIAAN FASILITAS/LAPANGAN: TENIS LAPANGAN,Availability of Facilities/Field: Field Tennis,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701EK3,KELOMPOK KEGIATAN : TENIS LAPANGAN,Activity Group: Field Tennis,village level,Proportion of villages having this activity group,proportion,
R701FK2,KETERSEDIAAN FASILITAS/LAPANGAN: TENIS MEJA,Availability of Facilities/Field: Table Tennis,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701FK3,KELOMPOK KEGIATAN : TENIS MEJA,Activity Group: Table Tennis,village level,Proportion of villages having this activity group,proportion,
R701GK2,KETERSEDIAAN FASILITAS/LAPANGAN: FUTSAL,Availability of Facilities/Field: Futsal,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701GK3,KELOMPOK KEGIATAN : FUTSAL,Activity Group: Futsal,village level,Proportion of villages having this activity group,proportion,
R701HK2,KETERSEDIAAN FASILITAS/LAPANGAN: RENANG,Availability of Facilities/Field: Swimming,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701HK3,KELOMPOK KEGIATAN : RENANG,Activity Group: Swimming,village level,Proportion of villages having this activity group,proportion,
R701IK2,"KETERSEDIAAN FASILITAS/LAPANGAN: BELA DIRI (PENCAK SILAT, KARATE, DLL.)","Availability of facilities/field: self -defense (pencak silat, karate, etc.)",village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701IK3,"KELOMPOK KEGIATAN : BELA DIRI (PENCAK SILAT, KARATE, DLL.)","Activity Group: self -defense (pencak silat, karate, etc.)",village level,Proportion of villages having this activity group,proportion,
R701JK2,KETERSEDIAAN FASILITAS/LAPANGAN: BILYARD,Availability of Facilities/Field: Billiard,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701JK3,KELOMPOK KEGIATAN : BILYARD,Activity Group: Billiard,village level,Proportion of villages having this activity group,proportion,
R701KK2,"KETERSEDIAAN FASILITAS/LAPANGAN: PUSAT KEBUGARAN (FITNES, AEROBIK)","Availability of Facilities/Field: Fitness Center (Fitness, Aerobics)",village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701KK3,KELOMPOK KEGIATAN : PUSAT KEBUGARAN (FITNESS CENTER) :,Activity Group: Fitness Center (Fitness Center):,village level,Proportion of villages having this activity group,proportion,
R701LK2,KETERSEDIAAN FASILITAS/LAPANGAN: LAINNYA,Availability of Facilities/Field: Others,village level,Creating dummy variable for each category of nature of sports facilites and calculating proportion,proportion,
R701LK3,KELOMPOK KEGIATAN : LAINNYA,Activity Group: Other,village level,Proportion of villages having this activity group,proportion,
R702,KEBERADAAN PUB/DISKOTIK/TEMPAT KARAOKE YANG MASIH BERFUNGSI,The existence of a pub/discotheque/karaoke place that is still functioning,village level,"Proportion of villages having pubs,karoake clubs",proportion,
R703,"RUANG PUBLIK TERBUKA YANG PERUNTUKAN UTAMANYA SEBAGAI TEMPAT BAGI WARGA DESA/KELURAHAN UNTUK BERSANTAI/BERMAIN TANPA PERLU MEMBAYAR (MISALNYA: LAPANGAN TERBUKA/ALUN–ALUN, TAMAN, DLL.)","Open public space whose main designation is a place for village/kelurahan residents to relax/play without the need to pay (for example: open fields/squares, parks, etc.)",village level,Create dummy variable for each category and calculate proportion,proportion,
R801A,LALU LINTAS DARI/KE DESA/KELURAHAN MELALUI,Traffic from/to villages/kelurahan through,village level,Create dummy variable for each category and calculate proportion,proportion,
R801B1,JENIS PERMUKAAN JALAN YANG TERLUAS,The widest type of road surface,village level,Create dummy variable for each category and calculate proportion,proportion,
R801B2,JALAN DARAT DAPAT DILALUI KENDARAAN BERMOTOR RODA 4 ATAU LEBIH,Roads can be passed by 4 or more motorized motor vehicles,village level,Create dummy variable for each category and calculate proportion,proportion,
R801C1,ANGKUTAN UMUM YANG MELEWATI DESA/KELURAHAN : KEBERADAAN ANGKUTAN UMUM,Public transportation that passes through villages/kelurahan: the existence of public transportation,village level,Create dummy variable for each category and calculate proportion,proportion,
R801C2,ANGKUTAN UMUM YANG MELEWATI DESA/KELURAHAN : OPERASIONAL ANGKUTAN UMUM YANG UTAMA,Public transportation that passes through villages/kelurahan: Main Public Transportation Operations,village level,Proportion of villages having everyday public transport operations,proportion,
R801C3,ANGKUTAN UMUM YANG MELEWATI DESA/KELURAHAN : JAM OPERASI ANGKUTAN UMUM YANG UTAMA,Public transportation that passes through villages/kelurahan: the main public transport operating hours,village level,Create dummy variable for each category and calculate proportion,proportion,
R802AK2,SARANA TRANSPORTASI YANG BIASA DIGUNAKAN DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,Transportation facilities commonly used from the village head/lurah office to the sub -district office,village level,"proportion of transport facilities, after creating dummies ",proportion,
R802AK3,JENIS ANGKUTAN UMUM DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,Types of Public Transportation from the Village Head/Lurah Office to the Sub -District Office,village level,proportion of general transport ,proportion,
R802AK4,JENIS ANGKUTAN UMUM YANG UTAMA DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,The main type of public transportation from the village head/lurah office to the sub -district office,village level,proportion of main public transport ,proportion,
R802AK5,JARAK TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,The distance from the village head/lurah office to the sub -district office,village level,average distance between head and sub-district office,mean,
R802AK6A,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT (JAM),Travel time from the village head/lurah office to the sub -district office (hour),village level,add hour and minute to make one column and take average for regency,mean,
R802AK6B,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT (MENIT),Travel time from the village head/lurah office to the sub -district office (minute),village level,add hour and minute to make one column and take average for regency,mean,
R802AK7,BIAYA TRANSPORTASI DARI KANTOR KEPALA DESA/LURAH KE KANTOR CAMAT,Transportation costs from the Village/Lurah Head Office to the Sub -District Office,village level,average cost for transportation ,mean,
R802BK2,SARANA TRANSPORTASI YANG BIASA DIGUNAKAN DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,Transportation facilities commonly used from the Village/Lurah Head Office to the Regent/Mayor's Office,village level,proportion of transport facilities form village head to mayors office,proportion,
R802BK3,JENIS ANGKUTAN UMUM DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,Types of Public Transportation from the Village Head/Lurah Office to the Regent/Mayor's Office,village level,proportion of general transport from village head to mayors office ,proportion,
R802BK4,JENIS ANGKUTAN UMUM YANG UTAMA DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,The main type of public transportation from the village head/lurah office to the regent/mayor's office,village level,proportoin of main public transport from village head to mayors office ,proportion,
R802BK5,JARAK TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,The distance from the village head/lurah office to the regent/mayor's office,village level,average distance between head and mayors office,mean,
R802BK6A,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA (JAM),Travel time from the village head/lurah office to the regent/mayor's office (hours),village level,add hour and minute to make one column and take average for regency,mean,
R802BK6B,WAKTU TEMPUH DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA (MENIT),Travel time from the village head/lurah office to the regent/mayor's office (minutes),village level,add hour and minute to make one column and take average for regency,mean,
R802BK7,BIAYA TRANSPORTASI DARI KANTOR KEPALA DESA/LURAH KE KANTOR BUPATI/WALIKOTA,Transportation costs from the Village/Lurah Head Office to the Regent/Mayor's Office,village level,average cost for transportation ,mean,
R803A,JUMLAH KELUARGA YANG BERLANGGANAN TELEPON KABEL,The number of families subscribed to cable phones,household level,total number of families subscribed to cabel phones,sum,
R803B,KEBERADAAN WARGA YANG MENGGUNAKAN TELEPON SELULER/HANDPHONE,The presence of residents who use cell phones/mobile phones,household level,proportion of recidents who use mobile phones,proportion,
R804,"KEBERADAAN INTERNET UNTUK WARNET, GAME ONLINE, DAN FASILITAS LAINNYA DI DESA/KELURAHAN","The existence of the internet for internet cafes, online games, and other facilities in the village/kelurahan",village level,proportion of existence of internet cafes,proportion,
R805A,JUMLAH MENARA TELEPON SELULER ATAU BASE TRANSCEIVER STATION (BTS),Number of Cell Phone Tower or Base Transceiver Station (BTS),village level,total number of  cellphone towers,sum,
R805B,JUMLAH OPERATOR LAYANAN KOMUNIKASI TELEPON SELULER/HANDPHONE YANG MENJANGKAU DI DESA/KELURAHAN,Number of cellular/mobile phone communication service operators that reach the village/kelurahan,village level,total number of cellular service operators,sum,
R805C,SINYAL TELEPON SELULER/HANDPHONE DI SEBAGIAN BESAR WILAYAH DESA/KELURAHAN,Cellular/mobile phone signals in most villages/kelurahan areas,village level,proportion of singnal strength,proportion,
R805D,SINYAL INTERNET TELEPON SELULER/HANDPHONE DI SEBAGIAN BESAR WILAYAH DI DESA/KELURAHAN,Cell phone/mobile phone signals in most areas in the village/kelurahan,village level,proportion of internet signal strength ,proportion,
R806A,KOMPUTER/PC/LAPTOP YANG MASIH BERFUNGSI DI KANTOR KEPALA DESA/LURAH,Computers/PCs/laptops that still function in the Village Head/Lurah Office,village level,proportion of computers working ,proportion,
R806B,FASILITAS INTERNET DI KANTOR KEPALA DESA/LURAH,Internet Facilities at the Village Head/Lurah Office,village level,proportion of internet facilities working,proportion,
R807A,KANTOR POS/POS PEMBANTU/RUMAH POS,Post/post office/post house,village level,proportion of post offices operating,proportion,
R807B,LAYANAN POS KELILING,Mobile Post Service,village level,proportion of mobile post services availability,proportion,
R807C,PERUSAHAAN/AGEN JASA EKSPEDISI (PENGIRIMAN BARANG/DOKUMEN) SWASTA,Private Supporting Services/Service Agents (Delivery of Goods/Documents),village level,proportion of private service agents delivering goods,proportion,
R901A,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI BARANG DARI KULIT (TAS, SEPATU, SANDAL, DLL.)","Number of Micro and Small Industries According to Main Raw Materials: Industry of Leather Goods (Bags, Shoes, Sandals, etc.)",village level,total number of leather industries,sum,
R901B,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI BARANG DARI KAYU (MEJA, KURSI, LEMARI, DLL.)","Number of Micro and Small Industries According to Main Raw Materials: Industry of Goods (Tables, Chairs, Chairs, Cabinets, etc.)",village level,total number of wooden goods industries,sum,
R901C,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI BARANG DARI LOGAM MULIA ATAU BAHAN LOGAM (PERABOT DAN PERHIASAN DARI LOGAM, DLL.)","Number of Micro and Small Industries According to Main Raw Materials: Industry of Goods from Metal Metals or Metal Materials (Furniture and Jewelry from Metals, etc.)",village level,total nuumber of metal industries ,sum,
R901D,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI BARANG DARI KAIN/TENUN (KERAJINAN TENUN, KONVEKSI, DLL.)","Number of Micro and Small Industries According to Main Raw Materials: Industry of Goods from Fabric/Weaving (Weaving Crafts, Convection, etc.)",village level,total number of fabric industries ,sum,
R901E,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI GERABAH/KERAMIK/BATU (GENTENG, BATU BATA, PORSELIN, TEGEL, KERAMIK, DLL.)","Number of Micro and Small Industries According to Main Raw Materials: Pottery/Ceramic/Stone Industries (tiles, bricks, porcelain, tiles, ceramics, etc.)",village level,total number of pottery industries ,sum,
R901F,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI ANYAMAN YANG TERBUAT DARI ROTAN/BAMBU, RUMPUT,PANDAN, DLL. (TIKAR, TAS, HIASAN DINDING, DAN PRODUK LAINNYA).","Number of Micro and Small Industries According to Main Raw Materials: Woven Industries made of rattan/bamboo, grass, pandanus, etc. (Mats, bags, wall hangings, and other products).",village level,"total number of bamboo, grass industries",sum,
R901G,"JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI MAKANAN DAN MINUMAN (PENGOLAHAN DAN PENGAWETAN DAGING, IKAN, BUAH– BUAHAN, SAYURAN,MINYAK DAN LEMAK, SUSU DAN MAKANAN DARI SUSU, MAKANAN DAN MINUMAN LAIN, DLL.)","The number of micro and small industries according to the main raw material: the food and beverage industry (processing and preserving meat, fish, fruits, vegetables, oil and fat, milk and food from milk, other foods and drinks, etc.)",village level,total number of food procesing industries ,sum,
R901H,JUMLAH INDUSTRI MIKRO DAN KECIL MENURUT BAHAN BAKU UTAMA: INDUSTRI LAINNYA.,Number of Micro and Small Industries According to Main Raw Materials: Other Industries.,village level,total number of other industries ,sum,
R902A,KEBERADAAN PANGKALAN/AGEN/PENJUAL MINYAK TANAH (TERMASUK PENJUAL MINYAK TANAH KELILING),The existence of bases/agents/sellers of kerosene (including mobile kerosene sellers),village level,proportion of kerosine sellers ,proportion,
R902B,"KEBERADAAN PANGKALAN/AGEN/PENJUAL LPG (WARUNG, TOKO, SUPERMARKET, PENJUAL GAS KELILING)","The existence of the base/agent/seller of LPG (stalls, shops, supermarkets, mobile gas sellers)",village level,proportion of lpg sellers,proportion,
R903AK2,"JUMLAH BANK UMUM PEMERINTAH (MISALNYA: BRI, BNI, MANDIRI, BPD, BTN, DLL.)","Number of Government Commercial Banks (for example: BRI, BNI, Mandiri, BPD, BTN, etc.)",village level,total number of government banks,sum,
R903AK3,JARAK TERDEKAT KE BANK UMUM PEMERINTAH,Closest distance to government commercial banks,village level,average distance of closest bank,mean,
R903AK4,KEMUDAHAN UNTUK MENCAPAI BANK UMUM PEMERINTAH,Ease of achieving government commercial banks,village level,proportion of ease of achieving government commercial bamks,proportion,
R903BK2,"JUMLAH BANK UMUM SWASTA (MISALNYA: BCA, PERMATA, SINARMAS, CIMB, DLL.)","Number of private commercial banks (for example: BCA, Permata, Sinarmas, CIMB, etc.)",village level,total number of private banks,sum,
R903BK3,JARAK TERDEKAT KE BANK UMUM SWASTA,Closest distance to private commercial banks,village level,average distance to private banks,mean,
R903BK4,KEMUDAHAN UNTUK MENCAPAI BANK UMUM SWASTA,Ease of achieving private commercial banks,village level,proportion of ease of achieving provate commercial bamks,proportion,
R903CK2,JUMLAH BANK PERKREDITAN RAKYAT (BPR),Number of People's Credit Banks (BPR),village level,total number of rural banks,sum,
R903CK3,JARAK TERDEKAT KE BANK PERKREDITAN RAKYAT (BPR),The closest distance to the People's Credit Bank (BPR),village level,average distance to rural banks,mean,
R903CK4,KEMUDAHAN UNTUK MENCAPAI BANK PERKREDITAN RAKYAT (BPR),Ease of achieving a People's Credit Bank (BPR),village level,proportion of ease of achieving rural bank,proportion,
R904A,JUMLAH KOPERASI UNIT DESA (KUD) YANG BEROPERASI,The number of operating village unit cooperatives (KUD),village level,total number of operating village unit cooperatives,sum,
R904B,JUMLAH KOPERASI INDUSTRI KECIL DAN KERAJINAN RAKYAT (KOPINKRA)/USAHA MIKRO,Number of Small Industrial Cooperatives and People's Crafts (Kopinkra)/Micro Business,village level,total number of small industrial cooperatives,sum,
R904C,JUMLAH KOPERASI SIMPAN PINJAM (KOSPIN),Number of Savings and Loan Cooperatives (Kospin),village level,total number of savings and loan cooperatives ,sum,
R904D,JUMLAH KOPERASI LAINNYA,Number of other cooperatives,village level,total number of other cooperatives,sum,
R905,KEBERADAAN SALON KECANTIKAN,The existence of a beauty salon,village level,proportiono f beauty salons,proportion,
R906AK2,JUMLAH KELOMPOK PERTOKOAN,Number of shopping groups,village level,total number of shopping groups ,sum,
R906AK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE KELOMPOK PERTOKOAN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the nearest shopping group (km)",village level,average distance to nearst shopping group,mean,
R906AK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI KELOMPOK PERTOKOAN","If there is no [column (2) filled with 0], the ease of reaching the shopping group",village level,proportion of ease of access,proportion,
R906BK2,"JUMLAH PASAR DENGAN BANGUNAN PERMANEN (MEMILIKI ATAP, LANTAI, DAN DINDING)","The number of markets with permanent buildings (having roofs, floors and walls)",village level,total number of markets with permanent buildings,sum,
R906BK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PASAR DENGAN BANGUNAN PERMANEN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the market with the nearest permanent building (km)",village level,average distance to nearest permanent building,mean,
R906BK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PASAR DENGAN BANGUNAN PERMANEN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the market with the nearest permanent building",village level,proportion of ease of access to market with permanent building,proportion,
R906CK2,"JUMLAH PASAR DENGAN BANGUNAN SEMI PERMANEN (MEMILIKI ATAP DAN LANTAI, TANPA DINDING)","The number of markets with semi -permanent buildings (has a roof and floor, without walls)",village level,toal number of markets with semi permanent buildings,sum,
R906CK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PASAR DENGAN BANGUNAN SEMI PERMANEN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the market with the nearest semi -permanent building (km)",village level,average distance to market with semi permanent buildings,mean,
R906CK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PASAR DENGAN BANGUNAN SEMI PERMANEN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the market with the nearest semi -permanent building",village level,proportion of ease of access to marjet with nearest semi permanent building,proportion,
R906DK2,"JUMLAH PASAR TANPA BANGUNAN (MISALNYA: PASAR KAGET, PASAR SUBUH, PASAR TERAPUNG, DLL.)","The number of markets without buildings (for example: shocked markets, dawn markets, floating markets, etc.)",village level,total number of makets without buildings,sum,
R906DK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PASAR TANPA BANGUNAN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the market without the nearest building (km)",village level,average distance to market without buildings,mean,
R906DK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PASAR TANPA BANGUNAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the market without the nearest building",village level,proportion of ease of reaching market without buidings ,proportion,
R906EK2,"JUMLAH MINIMARKET/SWALAYAN (TEMPAT USAHA DI BANGUNAN TETAP UNTUK MENJUAL BERBAGAI JENIS BARANG SECARA ECERAN DENGAN LABEL HARGA, SISTEM PELAYANAN MANDIRI, LUAS LANTAI < 400 M2)","Number of minimarkets/supermarkets (places of business in a fixed building to sell various types of goods in retail with a price label, independent service system, floor area <400 m2)",village level,total number of minimarkets,sum,
R906EK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE MINIMARKET/SWALAYAN TERDEKAT (KM)","If there is no [column (2) filled with 0], the distance to the nearest minimarket/supermarket (km)",village level,average distance to reach minimarket,mean,
R906EK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI MINIMARKET/SWALAYAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest minimarket/supermarket",village level,proportion of ease of access to reach minimarket,proportion,
R906FK2,"JUMLAH RESTORAN/RUMAH MAKAN (USAHA PANGAN SIAP SAJI DI BANGUNAN TETAP, PEMBELI BIASANYA DIKENAI PAJAK)","Number of restaurants/restaurants (fast food business in permanent buildings, buyers are usually subject to tax)",village level,total number of restaurants,sum,
R906FK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE RESTORAN/RUMAH MAKAN TERDEKAT (KM)","If there is no [column (2) filled with 0], the distance to the nearest restaurant/restaurant (km)",village level,average distance to the restaurant,mean,
R906FK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI RESTORAN/RUMAH MAKAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest restaurant/restaurant",village level,proportion of ease fo access to restaurant,proportion,
R906GK2,"JUMLAH WARUNG/KEDAI MAKANAN MINUMAN (USAHA PANGAN SIAP SAJI DI BANGUNAN TETAP, PEMBELI BIASANYA TIDAK DIKENAI PAJAK)","Number of food stalls/food stalls (ready -to -eat food business in a permanent building, buyers are usually not subject to tax)",village level,total number of food stalls,sum,
R906GK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE WARUNG/KEDAI MAKANAN MINUMAN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the nearest food stall/food stall (km)",village level,average distance to nearest food stall,mean,
R906GK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI WARUNG/KEDAI MAKANAN MINUMAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest food stall/food stall",village level,proportion of ease of access to nearest food stall,proportion,
R906HK2,"JUMLAH HOTEL (MENYEDIAKAN JASA AKOMODASI DAN ADA RESTORAN, PENGINAPAN DENGAN IZIN USAHA SEBAGAI HOTEL)","Number of hotels (providing accommodation services and restaurants, lodging with business permits as a hotel)",village level,total number of hotels,sum,
R906HK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE HOTEL TERDEKAT (KM)","If there is no [column (2) filled 0], distance to the nearest hotel (km)",village level,average distance to nearest hotel,mean,
R906HK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI HOTEL TERDEKAT","If there is no [column (2) filled with 0], it is easy to reach the nearest hotel",village level,proportion of ease of access to hotel ,proportion,
R906IK2,"JUMLAH PENGINAPAN: HOSTEL/MOTEL/LOSMEN/WISMA (MENYEDIAKAN AKOMODASI, PENGINAPAN DENGAN IZIN USAHA SEBAGAI BUKAN HOTEL)","Number of lodging: Hostel/Motel/Inn/Wisma (Providing accommodation, lodging with business licenses as non -hotel)",village level,total number of hostels,sum,
R906IK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PENGINAPAN: HOSTEL/MOTEL/LOSMEN/WISMA TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to lodging: hostel/motel/inn/guesthouse nearest (km)",village level,average distance to nearest hostel,mean,
R906IK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PENGINAPAN: HOSTEL/MOTEL/LOSMEN/WISMA TERDEKAT","If there is no [column (2) filled with 0], ease of achieving lodging: hostel/motel/inn/guesthouse nearest",village level,proportion of ease of access to hostel,proportion,
R906JK2,JUMLAH TOKO/WARUNG KELONTONG (TEMPAT USAHA DI BANGUNAN TETAP UNTUK MENJUAL BERBAGAI JENIS BARANG KEPERLUAN SEHARI-HARI SECARA ECERAN TANPA ADA SISTEM PELAYANAN MANDIRI),Number of Shops/Grocery Stalls (places of business in a fixed building to sell various types of daily necessities in retail without an independent service system),village level,total number of shops,sum,
R906JK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE TOKO/WARUNG KELONTONG TERDEKAT (KM)","If there is no [column (2) filled with 0], the distance to the nearest shop/stall (km)",village level,average distance to nearest shop,mean,
R906JK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI TOKO/WARUNG KELONTONG TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest grocery store/stall",village level,proportion of ease of access to shop,proportion,
R1001,"KEBIASAAN DAN KETERLIBATAN WARGA DALAM KEGIATAN GOTONG ROYONG DI DESA/KELURAHAN UNTUK KEPENTINGAN UMUM/KOMUNITAS (SEPERTI: KERJA BAKTI, SISKAMLING, PESTA RAKYAT, DLL) SELAMA 1 TAHUN TERAKHIR","Habits and involvement of citizens in mutual cooperation activities in the village/kelurahan for the public interest/community (such as: community service, siskamling, people's parties, etc.) for the past 1 year",village level,proportion of citizens involved in community service,proportion,
R1002A,KEJADIAN PERKELAHIAN MASSAL DI DESA/KELURAHAN SELAMA SETAHUN TERAKHIR,Mass fights in the village/kelurahan for the past year,village level,proportion of incidents of mass fights,proportion,
R1002B,"JIKA ADA KEJADIAN PERKELAHIAN MASSAL, JUMLAH PERKELAHIAN MASSAL YANG TERJADI","If there is a mass fighting event, the amount of mass fighting that occurs",village level,total number of mass fighting events occurred,sum,
R1002C1,KEBERADAAN KORBAN: MENINGGAL,The existence of the victim: died,village level,proportion of victims died,proportion,
R1002C2,KEBERADAAN KORBAN: LUKA-LUKA,The existence of victims: injuries,village level,proportion of victims injured,proportion,
R1002D,PENYEBAB PERKELAHIAN: (PILIHAN BOLEH LEBIH DARI SATU),Causes of Fighting: (Choice may be more than one),village level,proportion of cause of fights,proportion,
R1003,UPAYA PENYELESAIAN PERKELAHIAN MASSAL DILAKUKAN OLEH: (PILIHAN BOLEH LEBIH DARI SATU),Efforts to resolve mass fights are carried out by: (options may be more than one),village level,proportion of efforts to resolve mass fights,proportion,
R100401K3,KEJADIAN PERKOSAAN/KEJAHATAN TERHADAP KESUSILAAN,Rape/crime against decency,village level,proportion of rape incidents,proportion,
R100401K4,KECENDERUNGAN PERKOSAAN/KEJAHATAN TERHADAP KESUSILAAN DIBANDING SETAHUN TERAKHIR,The tendency of rape/crime against decency compared to the last year,village level,proportion of trend of rape incidentst,proportion,
R100402K3,KEJADIAN PENYALAHGUNAAN/PEREDARAN NARKOBA,The incidence of drug abuse/trafficking,village level,proportion of drug abbuse,proportion,
R100402K4,KECENDERUNGAN PENYALAHGUNAAN/PEREDARAN NARKOBA DIBANDING SETAHUN TERAKHIR,The tendency of drug abuse/circulation compared to the last year,village level,proportion of trend of drug abbuse,proportion,
R100403K3,KEJADIAN PERDAGANGAN ORANG (TRAFFICKING),Trafficking trafficking events,village level,proportion of human trafficking,proportion,
R100403K4,KECENDERUNGAN PERDAGANGAN ORANG (TRAFFICKING) DIBANDING SETAHUN TERAKHIR,Trafficking trafficking tendencies compared to the last year,village level,proportion of trend of human trafficking,proportion,
R100404K3,KEJADIAN KORUPSI,Corruption incident,village level,proportion of corruption,proportion,
R100404K4,KECENDERUNGAN KORUPSI DIBANDING SETAHUN TERAKHIR,The tendency of corruption compared to the last year,village level,proportion of trend of corruption,proportion,
R1005A,PEMBANGUNAN/PEMELIHARAAN POS KEAMANAN LINGKUNGAN SELAMA SETAHUN TERAKHIR,Development/maintenance of environmental security posts over the past year,village level,proportion of maintanance of security posts,proportion,
R1005B,PEMBENTUKAN/PENGATURAN REGU KEAMANAN SELAMA SETAHUN TERAKHIR,The formation/setting of security teams for the past year,village level,proportion of formation of security teams,proportion,
R1005C,PENAMBAHAN JUMLAH ANGGOTA HANSIP/LINMAS SELAMA SETAHUN TERAKHIR,Increase in the number of Hansip/Linmas members for the past year,village level,proportion of increase in linmas members,proportion,
R1005D,PELAPORAN TAMU YANG MENGINAP LEBIH DARI 24 JAM KE APARAT LINGKUNGAN SELAMA SETAHUN TERAKHIR,Reporting guests who stayed more than 24 hours to the environmental officers for the past year,village level,proportion of guests stayed over 24hrs,proportion,
